id,x0,y0,StartNode,StartTime,xf,yf,FinalNode
30811,365785.14,3713929.45,2246,1071,365962.98,3713946.76,2252
30812,365695.39,3713903.93,104,353,365122.39,3714074.92,114
30813,365772.25,3714016.45,2276,542,365962.98,3713946.76,2252
30815,365764.34,3713980.44,3562,1062,365962.98,3713946.76,2252
30816,365604.28,3714068.14,2285,1201,365962.98,3713946.76,2252
30817,365790.75,3713955.43,3564,548,365962.98,3713946.76,2252
30818,365636.44,3713984.45,2265,790,365962.98,3713946.76,2252
30820,365657.08,3714020.23,2266,122,365962.98,3713946.76,2252
30821,365604.28,3714068.14,2285,774,365962.98,3713946.76,2252
30822,365731.14,3713987.48,2268,995,365962.98,3713946.76,2252
30823,365636.44,3713984.45,2265,888,365122.39,3714074.92,114
30824,365790.75,3713955.43,3564,423,365962.98,3713946.76,2252
30825,365780.01,3713998.66,3605,805,365962.98,3713946.76,2252
30826,365790.75,3713955.43,3564,599,365962.98,3713946.76,2252
30827,365691.68,3713893.93,3736,1196,365122.39,3714074.92,114
30828,365839.36,3714002.23,60,749,365962.98,3713946.76,2252
30829,365726.54,3713939.86,107,213,365962.98,3713946.76,2252
30831,365731.14,3713987.48,2268,1241,365962.98,3713946.76,2252
30832,365790.75,3713955.43,3564,756,365962.98,3713946.76,2252
30833,365764.34,3713980.44,3562,282,365962.98,3713946.76,2252
30834,365726.54,3713939.86,107,358,365962.98,3713946.76,2252
30835,365785.14,3713929.45,2246,140,365962.98,3713946.76,2252
30837,365726.54,3713939.86,107,967,365962.98,3713946.76,2252
